"Source","Target","Type","Implementation","Status","Notes"
"(.*)$","https://smru.edu.in/$1","301","public/.htaccess","active","Apache deploy rule"
"schools/law/legal-studies/llb-general/?$","https://smru.edu.in/schools/law/legal-studies/llb/","301","public/.htaccess","active","Apache deploy rule"
"llm/?$","https://smru.edu.in/schools/law/legal-studies/llm/","301","public/.htaccess","active","Apache deploy rule"
"phd-law/?$","https://smru.edu.in/schools/law/legal-studies/phd-law/","301","public/.htaccess","active","Apache deploy rule"
"(smru-facts|Stmarys-facts|stmarys-facts)/?$","https://smru.edu.in/smru/","301","public/.htaccess","active","Phase 2 consolidation (case-insensitive)"
"(st-marys-university|Stmarys-university|stmarys-university|st-marys-rehabilitation-university|Stmarys-university-official|stmarys-university-official)/?$","https://smru.edu.in/smru/","301","public/.htaccess","active","Phase 2 consolidation (case-insensitive)"
"(smru-hyderabad|Stmarys-hyderabad|stmarys-hyderabad|rehabilitation-university-hyderabad)/?$","https://smru.edu.in/smru/","301","public/.htaccess","active","Phase 2 consolidation (case-insensitive)"
"seo/(st-marys-university|stmarys-university|smru-hyderabad|stmarys-hyderabad|st-marys-rehabilitation-university|stmarys-university-official|stmarys-rehabilitation-university)/?$","https://smru.edu.in/smru/","301","public/.htaccess","active","Phase 2 consolidation (case-insensitive)"
"student-guides/(st-marys-university|Stmarys-university|stmarys-university|Stmarys-university-hyderabad|stmarys-university-hyderabad|Stmarys-rehabilitation-university|stmarys-rehabilitation-university|what-is-smru|is-st-marys-university-same-as-smru|where-is-smru-located)/?$","https://smru.edu.in/smru/","301","public/.htaccess","active","Phase 2 consolidation (case-insensitive)"
"explore-(smru|stmarys)/?$","https://smru.edu.in/explore/","301","public/.htaccess","active","Phase 2 consolidation (case-insensitive)"
"Hand-Book/?$","https://smru.edu.in/handbook/","301","public/.htaccess","active","Phase 2 consolidation (case-insensitive)"
"Handbook/?$","https://smru.edu.in/handbook/","301","public/.htaccess","active","Phase 2 consolidation (static folder retired)"
"Handbook/(.+\.pdf)$","https://smru.edu.in/assets/handbook/$1","301","public/.htaccess","active","Phase 2: handbook PDFs moved under /assets/handbook/"
"iqac/?$","https://smru.edu.in/iqac-quality-assurance/","301","public/.htaccess","active","Phase 2 consolidation"
"mandatory-disclosure/(ugc-disclosure|statutory-disclosures|contact|first-academic-year-disclosure|public-information)/?$","https://smru.edu.in/mandatory-disclosure/","301","public/.htaccess","active","Phase 2 consolidation"
"(niat|bb|skilgen|qtst)/?$","https://smru.edu.in/partner/$1/","301","public/.htaccess","active","Phase 2 consolidation"
"(rehabilitation-sciences|health-allied-health-sciences|psychology|nursing-sciences|engineering-emerging-technologies|law)/?$","https://smru.edu.in/schools/$1/","301","public/.htaccess","active","Phase 2 consolidation"
"guides/best-mba-college-in-hyderabad/?$","https://smru.edu.in/schools/","301","public/.htaccess","active","Phase 3 consolidation"
"guides/best-pharmacy-college-in-hyderabad/?$","https://smru.edu.in/schools/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/no1-college-in-india-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-college-in-india-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-college-in-india-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-university-in-india-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-university-in-india-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/no1-private-university-india-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-rehabilitation-university-india/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-rehabilitation-university-india/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-health-sciences-university-india/?$","https://smru.edu.in/schools/health-allied-health-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-allied-health-sciences-university-india/?$","https://smru.edu.in/schools/health-allied-health-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-psychology-university-india/?$","https://smru.edu.in/schools/psychology/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-nursing-university-india/?$","https://smru.edu.in/schools/nursing-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-engineering-university-india/?$","https://smru.edu.in/schools/engineering-emerging-technologies/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-law-university-india/?$","https://smru.edu.in/schools/law/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-bpt-college-india/?$","https://smru.edu.in/seo/bpt-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-baslp-college-india/?$","https://smru.edu.in/seo/baslp-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-bsc-nursing-college-india/?$","https://smru.edu.in/seo/nursing-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-btech-cse-college-india/?$","https://smru.edu.in/seo/engineering-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-law-college-india/?$","https://smru.edu.in/seo/law-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-private-university-admissions-india/?$","https://smru.edu.in/admissions/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/placement-guarantee-college-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/highest-salary-package-college-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/indias-first-university-claim-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/fastest-growing-university-india-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-college-scholarships-india/?$","https://smru.edu.in/admissions/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-university-healthcare-courses-india/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-inclusive-education-university-india/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-forensic-science-university-india/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/bsc-forensic-science/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-university-near-hyderabad-india/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-university-campus-facilities-india/?$","https://smru.edu.in/campus-guide/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-college-in-hyderabad-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-college-in-hyderabad-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-university-in-hyderabad-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-university-in-hyderabad-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-college-in-telangana-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-college-in-telangana-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/best-university-in-telangana-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/top-university-in-telangana-checklist/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/private-university-in-hyderabad/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/private-university-in-telangana/?$","https://smru.edu.in/about/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/ugc-recognized-university-hyderabad/?$","https://smru.edu.in/approvals-recognitions/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/ugc-recognized-university-telangana/?$","https://smru.edu.in/approvals-recognitions/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/rehabilitation-university-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/health-sciences-university-hyderabad/?$","https://smru.edu.in/schools/health-allied-health-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/allied-health-sciences-college-hyderabad/?$","https://smru.edu.in/schools/health-allied-health-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/bsc-nursing-college-hyderabad/?$","https://smru.edu.in/seo/nursing-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/btech-cse-college-hyderabad/?$","https://smru.edu.in/seo/engineering-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/llb-college-hyderabad/?$","https://smru.edu.in/seo/law-college-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/colleges-near-ramoji-film-city/?$","https://smru.edu.in/campus-location-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/university-near-ramoji-film-city/?$","https://smru.edu.in/campus-location-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/college-in-deshmukhi-hyderabad/?$","https://smru.edu.in/campus-location-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/university-in-yadadri-bhuvanagiri/?$","https://smru.edu.in/campus-location-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/admissions-open-college-hyderabad/?$","https://smru.edu.in/admissions/","301","public/.htaccess","active","Phase 3 consolidation"
"seo/campus-tour-university-hyderabad/?$","https://smru.edu.in/campus-guide/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/baslp-course-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/audiology-speech-sciences/baslp/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/baslp-admission-guide/?$","https://smru.edu.in/schools/rehabilitation-sciences/audiology-speech-sciences/baslp/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/msc-audiology-course/?$","https://smru.edu.in/schools/rehabilitation-sciences/audiology-speech-sciences/msc-audiology/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bpo-course-guide/?$","https://smru.edu.in/schools/rehabilitation-sciences/prosthetics-orthotics/bpo/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/mpo-course-guide/?$","https://smru.edu.in/schools/rehabilitation-sciences/prosthetics-orthotics/mpo/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/ba-bed-special-inclusive-education/?$","https://smru.edu.in/schools/rehabilitation-sciences/inclusive-education/ba-bed-special-inclusive-education/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bsc-bed-special-inclusive-education/?$","https://smru.edu.in/schools/rehabilitation-sciences/inclusive-education/bsc-bed-special-inclusive-education/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bcom-bed-special-inclusive-education/?$","https://smru.edu.in/schools/rehabilitation-sciences/inclusive-education/bcom-bed-special-inclusive-education/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bpt-course-hyderabad/?$","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/bpt/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bpt-admission-guide/?$","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/bpt/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/mpt-course-hyderabad/?$","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/mpt/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bot-course-hyderabad/?$","https://smru.edu.in/schools/health-allied-health-sciences/occupational-therapy/bot/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bot-admission-guide/?$","https://smru.edu.in/schools/health-allied-health-sciences/occupational-therapy/bot/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/mot-course-hyderabad/?$","https://smru.edu.in/schools/health-allied-health-sciences/occupational-therapy/mot/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/medical-lab-technology-course/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/bmlt/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/anesthesia-operation-theatre-technology/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/bsc-anaesthesia-ot/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/cardiovascular-technology-course/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/bcvt/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/emergency-medical-technology-course/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/betcms/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/optometry-course-hyderabad/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/b-optometry/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/radiotherapy-technology-course/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/brt/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bsc-forensic-science-course/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/bsc-forensic-science/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bsc-forensic-science-admission/?$","https://smru.edu.in/schools/health-allied-health-sciences/allied-health-sciences/bsc-forensic-science/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bsc-clinical-psychology-course/?$","https://smru.edu.in/schools/psychology/clinical-psychology/bsc-clinical-psychology/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/ma-clinical-psychology-course/?$","https://smru.edu.in/schools/psychology/clinical-psychology/ma-clinical-psychology/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/professional-diploma-clinical-psychology/?$","https://smru.edu.in/schools/psychology/clinical-psychology/professional-diploma-clinical-psychology/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/pg-diploma-rehabilitation-psychology/?$","https://smru.edu.in/schools/psychology/rehabilitation-psychology/pg-diploma-rehabilitation-psychology/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/b-psychology-course/?$","https://smru.edu.in/schools/psychology/applied-psychology-behavioural-health/b-psychology-applied-behavioural/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/m-psychology-course/?$","https://smru.edu.in/schools/psychology/applied-psychology-behavioural-health/m-psychology-applied-behavioural/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bsc-nursing-course-hyderabad/?$","https://smru.edu.in/schools/nursing-sciences/nursing/bsc-nursing/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/bsc-nursing-admission-guide/?$","https://smru.edu.in/schools/nursing-sciences/nursing/bsc-nursing/","301","public/.htaccess","active","Phase 3 consolidation"
"admission-guides/msc-nursing-course-hyderabad/?$","https://smru.edu.in/schools/nursing-sciences/nursing/msc-nursing/","301","public/.htaccess","active","Phase 3 consolidation"
